#,dept_name,building,budget
1,Civil Eng.,Chandler,255041.46
2,Biology,Candlestick,647610.55
3,History,Taylor,699140.86
4,Physics,Wrigley,942162.76
5,Marketing,Lambeau,210627.58
6,Pol. Sci.,Whitman,573745.09
7,English,Palmer,611042.66
8,Accounting,Saucon,441840.92
9,Comp. Sci.,Lamberton,106378.69
10,Languages,Linderman,601283.60
11,Finance,Candlestick,866831.75
12,Geology,Palmer,406557.93
13,Cybernetics,Mercer,794541.46
14,Astronomy,Taylor,617253.94
15,Athletics,Bronfman,734550.70
16,Statistics,Taylor,395051.74
17,Psychology,Thompson,848175.04
18,Math,Brodhead,777605.11
19,Elec. Eng.,Main,276527.61
20,Mech. Eng.,Rauch,520350.65
